player_id,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
2386,L1,0.0,0.0,0.0,0.0,450.0
2421,L1,1.0,0.0,0.0,0.0,2880.0
2453,L1,2.0,0.0,1.0,1.0,303.0
2514,GB1,3.0,0.0,1.0,1.0,1201.0
2583,SC1,0.0,0.0,0.0,0.0,362.0
2587,TR1,7.0,0.25,0.5,0.75,2113.0
2623,L1,0.0,0.0,0.0,0.0,150.0
2703,DK1,2.5,0.0,4.5,1.5,1236.5
2712,L1,2.0,0.0,2.0,0.0,417.0
2767,L1,2.3333333333333335,0.3333333333333333,2.6666666666666665,0.0,1074.6666666666667
2805,L1,0.6666666666666666,0.0,0.0,1.3333333333333333,685.0
2857,GB1,0.0,0.0,0.0,0.0,1080.0
2865,L1,5.0,0.0,0.0,1.0,1346.0
2874,GR1,1.6666666666666667,0.0,3.6666666666666665,2.0,1032.0
2878,FR1,2.0,0.0,1.0,0.0,544.0
2899,TR1,1.0,0.0,1.0,1.0,1077.0
2904,IT1,3.0,0.0,0.0,0.0,759.0
2923,ES1,5.0,0.0,2.0,4.0,1520.0
2926,L1,8.0,0.0,0.0,0.0,1795.0
2950,L1,0.0,0.0,0.0,0.0,10.0
2953,L1,2.0,0.0,0.0,0.0,47.0
2956,PO1,0.0,0.0,0.0,0.0,56.0
2963,ES1,3.0,0.0,0.0,0.0,773.0
2998,GB1,6.333333333333333,0.0,2.0,0.6666666666666666,2420.3333333333335
2999,SC1,1.0,0.0,0.0,0.0,127.0
3059,TR1,2.0,0.0,0.5,2.5,1779.0
3098,DK1,3.0,0.0,3.0,1.0,1951.0
3109,GB1,6.333333333333333,0.3333333333333333,10.666666666666666,8.333333333333334,2786.0
3114,L1,1.3333333333333333,0.0,1.0,1.6666666666666667,842.0
3115,FR1,0.5,0.0,0.5,0.0,281.5
3118,GB1,1.0,0.0,0.0,1.0,196.0
3130,GB1,3.0,0.0,0.0,0.0,1181.0
3131,GB1,0.0,0.0,0.0,0.0,76.0
3132,TR1,0.5,0.0,2.5,1.0,938.0
3139,FR1,0.0,1.0,0.0,2.0,314.0
3146,GB1,1.0,0.0,0.0,0.0,315.0
3156,GB1,2.0,0.0,1.0,0.0,1526.0
3159,IT1,2.0,0.0,0.0,0.0,673.0
3160,GB1,2.0,0.25,1.75,0.25,1813.25
3163,GB1,2.3333333333333335,0.0,9.0,2.0,1531.0
3165,TR1,3.0,0.0,1.0,0.0,812.0
3170,NL1,2.6666666666666665,0.0,1.0,2.0,1165.0
3172,ES1,1.0,0.0,3.0,0.0,722.0
3176,BE1,1.0,0.5,5.0,1.5,1084.0
3179,SC1,0.0,0.0,0.0,1.0,77.0
3182,IT1,2.0,0.0,0.0,0.0,990.0
3190,GB1,0.0,0.0,0.0,0.0,360.0
3195,GB1,0.5,0.0,0.5,0.0,122.0
3201,GR1,8.75,0.0,1.0,0.25,1654.75
3202,SC1,1.0,0.0,0.0,0.0,502.0
3205,RU1,1.0,0.0,0.0,0.0,580.0
3216,TR1,1.0,1.0,2.0,0.0,413.0
3220,GB1,3.0,0.0,0.0,2.5,2008.0
3226,GB1,0.0,0.0,2.0,0.0,856.0
3235,GB1,1.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,1480.3333333333333
3251,SC1,4.0,0.0,0.0,1.0,1743.0
3256,L1,2.75,0.0,0.25,1.75,985.5
3259,GB1,0.5,0.0,1.5,5.0,1515.5
3266,FR1,0.0,0.0,3.5,1.5,1023.0
3269,SC1,1.0,0.0,3.0,4.0,773.0
3270,GB1,0.0,0.0,0.0,0.0,720.0
3273,GB1,0.0,0.0,0.5,0.0,232.0
3276,GB1,2.3333333333333335,0.0,1.0,1.3333333333333333,667.0
3287,SC1,0.0,0.0,0.0,0.0,360.0
3291,GB1,6.75,0.0,0.75,1.25,2062.5
3292,GB1,7.5,0.5,1.0,1.5,1727.5
3296,GB1,5.0,1.0,1.0,1.0,2250.0
3297,GB1,3.0,0.0,2.0,1.0,1252.0
3306,GB1,1.25,0.0,3.25,1.75,1124.25
3310,SC1,0.0,0.0,0.0,0.0,135.0
3321,RU1,5.333333333333333,0.0,0.0,0.3333333333333333,950.6666666666666
3322,SC1,0.5,0.0,0.0,0.0,3330.0
3332,GB1,4.75,0.0,6.75,3.5,1951.5
3333,GB1,2.25,0.0,0.0,1.0,812.75
3354,BE1,3.0,0.0,1.0,0.0,640.0
3356,GB1,0.5,0.0,0.0,0.25,1594.25
3357,GB1,0.0,0.0,0.0,0.0,1380.0
3366,IT1,2.0,0.0,7.0,6.0,2407.0
3391,TR1,3.0,0.0,3.0,4.0,989.0
3395,NL1,1.0,0.0,0.0,0.0,2480.0
3397,GB1,7.0,0.0,1.0,1.0,763.0
3404,GB1,4.0,0.0,0.0,1.0,1551.0
3405,GB1,2.3333333333333335,1.3333333333333333,0.0,0.6666666666666666,1532.6666666666667
3406,GB1,1.5,0.0,1.0,2.5,835.0
3411,PO1,0.0,0.0,0.0,3.0,209.0
3413,TR1,4.5,0.0,2.0,6.5,1694.5
3417,IT1,7.666666666666667,0.0,0.0,0.0,2547.0
3428,IT1,2.0,0.0,0.0,0.0,114.0
3441,BE1,1.5,0.0,0.5,1.0,1368.75
3447,DK1,0.0,0.0,0.0,0.0,90.0
3455,IT1,1.25,0.25,8.5,2.5,1003.0
3458,TR1,1.75,0.0,4.5,3.75,1434.25
3461,GB1,1.0,0.0,2.0,0.0,825.0
3467,GB1,0.0,0.0,0.5,0.5,688.5
3473,GB1,0.0,0.0,0.0,0.0,315.0
3476,GB1,0.0,0.0,0.0,0.0,540.0
3480,PO1,7.0,0.0,7.0,1.0,2284.0
3495,ES1,2.0,0.0,0.0,1.0,3122.0
3507,IT1,1.25,0.25,0.0,0.0,1228.0
3515,NL1,11.0,0.0,6.0,3.0,2467.0
3525,FR1,2.0,0.2,0.4,0.4,1927.2
3530,L1,3.0,0.0,0.5,1.5,1512.0
3531,TR1,1.0,0.0,2.0,1.0,319.0
3534,GR1,0.0,0.0,0.0,0.0,1440.0
3535,ES1,0.0,0.0,0.0,0.0,15.0
3539,GR1,0.3333333333333333,0.0,0.0,0.0,1620.0
3540,GB1,3.0,0.0,0.0,0.25,2233.25
3547,GB1,1.25,0.0,1.25,1.75,2545.5
3548,GB1,3.25,0.25,1.0,1.75,1222.5
3560,GB1,0.6666666666666666,0.0,0.0,0.0,259.3333333333333
3562,GB1,0.3333333333333333,0.0,0.0,0.0,803.6666666666666
3564,SC1,0.0,0.0,0.0,1.0,270.0
3569,FR1,1.25,0.0,0.75,0.5,609.5
3573,TR1,1.5,0.0,1.0,0.0,969.5
3575,FR1,1.0,0.0,0.0,0.0,2865.0
3580,SC1,0.0,0.0,0.0,0.0,678.0
3583,SC1,0.0,0.0,0.0,0.0,720.0
3589,SC1,0.0,0.0,0.0,0.0,634.0
3597,GB1,4.0,0.0,0.0,1.0,1525.0
3613,SC1,0.0,0.0,0.0,0.0,1.0
3614,GB1,0.0,0.0,0.0,0.0,95.0
3620,GB1,2.25,0.0,1.75,2.0,1266.5
