yellow_cards,red_cards,goals,assists,minutes_played,league_id_DK1,league_id_ES1,league_id_FR1,league_id_GB1,league_id_GR1,league_id_IT1,league_id_L1,league_id_NL1,league_id_PO1,league_id_RU1,league_id_SC1,league_id_TR1,league_id_UKR1,position_Defender,position_Midfield,foot_left,foot_right,age_distr_20-25,age_distr_25-30,age_distr_30>,to_exp_months_6-12,to_exp_months_12-24,to_exp_months_24>,height_distr_170-180,height_distr_180-190,height_distr_190>
0.9634514648012447,-0.3094042797829574,0.8907663418287678,1.2181760456327524,0.4884618801403683,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False
2.4829595457423363,2.583070729893896,-0.6012150797694159,0.060889383702023715,1.4010921752422043,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,True,False
-0.8093079629633624,-0.3094042797829574,-0.47688329463623397,-0.13199172661976438,-0.29104507026272886,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
-1.0625593097868775,-0.3094042797829574,-0.6012150797694159,0.060889383702023715,-1.1044928167646546,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False
0.9634514648012447,-0.3094042797829574,8.102009879553322,3.9185115901377854,2.2926037527714356,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False
2.609585219154094,1.1368332250554694,2.3827477634269516,1.9897004869199046,1.772178212589397,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False
3.4959649330363973,-0.3094042797829574,0.3934392012960399,0.060889383702023715,3.5084384930228074,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
-1.0625593097868775,-0.3094042797829574,-0.6012150797694159,-0.7106350575851286,-1.0577299421396018,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False
0.45694877115421406,1.618912393334945,-0.26966365274759735,-0.45346024382274447,1.2140406767419933,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
1.0647520035306508,-0.3094042797829574,-0.40228422355632476,0.21519427195945415,0.08901642205282095,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False
0.7102001179777293,-0.3094042797829574,-0.10388793923668803,-0.32487283694155245,0.7079456949127934,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False
