value_distr
<.5M
<.5M
<.5M
<.5M
10M>
3M-5M
<.5M
<.5M
<.5M
<.5M
<.5M
<.5M
<.5M
<.5M
<.5M
<.5M
<.5M
<.5M
<.5M
<.5M
1M-3M
.5M-1M
<.5M
1M-3M
10M>
5M-10M
<.5M
.5M-1M
<.5M
3M-5M
1M-3M
.5M-1M
3M-5M
<.5M
<.5M
5M-10M
1M-3M
10M>
3M-5M
1M-3M
1M-3M
3M-5M
1M-3M
<.5M
5M-10M
1M-3M
<.5M
<.5M
10M>
5M-10M
5M-10M
1M-3M
.5M-1M
3M-5M
1M-3M
.5M-1M
1M-3M
1M-3M
5M-10M
.5M-1M
1M-3M
1M-3M
1M-3M
3M-5M
5M-10M
.5M-1M
10M>
<.5M
1M-3M
3M-5M
1M-3M
.5M-1M
.5M-1M
.5M-1M
10M>
<.5M
<.5M
.5M-1M
<.5M
<.5M
.5M-1M
<.5M
.5M-1M
5M-10M
<.5M
<.5M
<.5M
.5M-1M
<.5M
<.5M
<.5M
5M-10M
<.5M
<.5M
<.5M
<.5M
<.5M
<.5M
.5M-1M
<.5M
.5M-1M
<.5M
1M-3M
1M-3M
<.5M
<.5M
<.5M
<.5M
.5M-1M
<.5M
<.5M
<.5M
<.5M
<.5M
<.5M
<.5M
<.5M
<.5M
.5M-1M
3M-5M
1M-3M
<.5M
10M>
<.5M
.5M-1M
<.5M
<.5M
<.5M
<.5M
<.5M
<.5M
<.5M
<.5M
<.5M
5M-10M
<.5M
<.5M
.5M-1M
<.5M
<.5M
<.5M
<.5M
<.5M
1M-3M
<.5M
<.5M
<.5M
5M-10M
10M>
<.5M
<.5M
<.5M
1M-3M
<.5M
<.5M
<.5M
.5M-1M
.5M-1M
3M-5M
3M-5M
1M-3M
.5M-1M
1M-3M
5M-10M
<.5M
.5M-1M
.5M-1M
5M-10M
<.5M
3M-5M
<.5M
<.5M
<.5M
.5M-1M
<.5M
1M-3M
<.5M
10M>
.5M-1M
.5M-1M
.5M-1M
.5M-1M
<.5M
.5M-1M
<.5M
5M-10M
1M-3M
<.5M
<.5M
<.5M
1M-3M
5M-10M
.5M-1M
<.5M
.5M-1M
.5M-1M
.5M-1M
3M-5M
<.5M
.5M-1M
<.5M
1M-3M
1M-3M
1M-3M
1M-3M
<.5M
1M-3M
1M-3M
1M-3M
1M-3M
1M-3M
5M-10M
<.5M
3M-5M
3M-5M
<.5M
1M-3M
1M-3M
5M-10M
3M-5M
.5M-1M
<.5M
10M>
<.5M
1M-3M
<.5M
<.5M
10M>
.5M-1M
1M-3M
5M-10M
3M-5M
1M-3M
<.5M
10M>
3M-5M
<.5M
1M-3M
1M-3M
1M-3M
<.5M
10M>
.5M-1M
1M-3M
<.5M
.5M-1M
.5M-1M
<.5M
<.5M
<.5M
<.5M
3M-5M
.5M-1M
10M>
.5M-1M
.5M-1M
1M-3M
.5M-1M
.5M-1M
1M-3M
<.5M
5M-10M
<.5M
.5M-1M
1M-3M
10M>
.5M-1M
10M>
1M-3M
1M-3M
3M-5M
<.5M
3M-5M
1M-3M
<.5M
1M-3M
<.5M
<.5M
<.5M
5M-10M
1M-3M
10M>
1M-3M
<.5M
<.5M
<.5M
10M>
<.5M
<.5M
3M-5M
3M-5M
1M-3M
1M-3M
<.5M
<.5M
1M-3M
.5M-1M
.5M-1M
.5M-1M
1M-3M
10M>
<.5M
1M-3M
5M-10M
1M-3M
.5M-1M
.5M-1M
1M-3M
1M-3M
3M-5M
.5M-1M
5M-10M
<.5M
1M-3M
<.5M
.5M-1M
1M-3M
1M-3M
.5M-1M
3M-5M
10M>
<.5M
<.5M
5M-10M
1M-3M
<.5M
<.5M
10M>
.5M-1M
10M>
.5M-1M
1M-3M
1M-3M
5M-10M
<.5M
<.5M
<.5M
.5M-1M
1M-3M
<.5M
<.5M
1M-3M
5M-10M
.5M-1M
<.5M
5M-10M
<.5M
1M-3M
1M-3M
1M-3M
5M-10M
3M-5M
1M-3M
5M-10M
5M-10M
<.5M
1M-3M
1M-3M
.5M-1M
<.5M
.5M-1M
.5M-1M
.5M-1M
<.5M
<.5M
.5M-1M
10M>
<.5M
<.5M
.5M-1M
1M-3M
3M-5M
.5M-1M
5M-10M
3M-5M
<.5M
.5M-1M
1M-3M
<.5M
<.5M
3M-5M
3M-5M
1M-3M
<.5M
.5M-1M
10M>
10M>
1M-3M
10M>
.5M-1M
1M-3M
1M-3M
<.5M
5M-10M
5M-10M
3M-5M
<.5M
1M-3M
<.5M
5M-10M
<.5M
.5M-1M
<.5M
3M-5M
<.5M
<.5M
.5M-1M
.5M-1M
1M-3M
.5M-1M
.5M-1M
.5M-1M
<.5M
1M-3M
1M-3M
<.5M
3M-5M
1M-3M
1M-3M
<.5M
<.5M
.5M-1M
<.5M
1M-3M
3M-5M
1M-3M
.5M-1M
5M-10M
.5M-1M
10M>
1M-3M
1M-3M
5M-10M
1M-3M
1M-3M
<.5M
<.5M
.5M-1M
10M>
<.5M
1M-3M
5M-10M
1M-3M
.5M-1M
<.5M
10M>
<.5M
<.5M
<.5M
<.5M
<.5M
.5M-1M
.5M-1M
5M-10M
1M-3M
1M-3M
1M-3M
3M-5M
1M-3M
.5M-1M
<.5M
5M-10M
10M>
1M-3M
1M-3M
1M-3M
3M-5M
<.5M
1M-3M
1M-3M
.5M-1M
<.5M
<.5M
10M>
1M-3M
3M-5M
<.5M
<.5M
<.5M
10M>
<.5M
10M>
<.5M
1M-3M
<.5M
<.5M
1M-3M
<.5M
5M-10M
<.5M
<.5M
<.5M
.5M-1M
<.5M
5M-10M
1M-3M
<.5M
<.5M
<.5M
1M-3M
1M-3M
.5M-1M
10M>
1M-3M
3M-5M
1M-3M
1M-3M
1M-3M
1M-3M
<.5M
<.5M
3M-5M
<.5M
.5M-1M
<.5M
<.5M
<.5M
<.5M
10M>
<.5M
.5M-1M
1M-3M
5M-10M
.5M-1M
.5M-1M
<.5M
3M-5M
<.5M
10M>
<.5M
.5M-1M
3M-5M
<.5M
3M-5M
1M-3M
1M-3M
<.5M
5M-10M
1M-3M
1M-3M
.5M-1M
1M-3M
5M-10M
<.5M
3M-5M
5M-10M
.5M-1M
10M>
1M-3M
<.5M
<.5M
.5M-1M
1M-3M
<.5M
5M-10M
1M-3M
<.5M
<.5M
<.5M
.5M-1M
<.5M
1M-3M
1M-3M
5M-10M
<.5M
.5M-1M
5M-10M
10M>
.5M-1M
.5M-1M
1M-3M
<.5M
1M-3M
1M-3M
5M-10M
10M>
.5M-1M
5M-10M
.5M-1M
<.5M
<.5M
10M>
5M-10M
1M-3M
1M-3M
3M-5M
<.5M
<.5M
10M>
<.5M
.5M-1M
5M-10M
10M>
.5M-1M
<.5M
<.5M
1M-3M
<.5M
.5M-1M
<.5M
1M-3M
3M-5M
.5M-1M
<.5M
<.5M
.5M-1M
.5M-1M
10M>
<.5M
1M-3M
<.5M
<.5M
1M-3M
5M-10M
<.5M
1M-3M
.5M-1M
<.5M
<.5M
<.5M
<.5M
.5M-1M
5M-10M
.5M-1M
.5M-1M
<.5M
<.5M
<.5M
.5M-1M
<.5M
3M-5M
<.5M
1M-3M
1M-3M
1M-3M
.5M-1M
5M-10M
<.5M
1M-3M
.5M-1M
<.5M
<.5M
1M-3M
.5M-1M
1M-3M
3M-5M
.5M-1M
.5M-1M
<.5M
1M-3M
3M-5M
.5M-1M
3M-5M
.5M-1M
.5M-1M
<.5M
.5M-1M
<.5M
.5M-1M
3M-5M
5M-10M
.5M-1M
<.5M
<.5M
<.5M
<.5M
.5M-1M
3M-5M
<.5M
<.5M
<.5M
.5M-1M
<.5M
.5M-1M
<.5M
.5M-1M
.5M-1M
3M-5M
1M-3M
<.5M
3M-5M
<.5M
.5M-1M
.5M-1M
10M>
<.5M
<.5M
<.5M
.5M-1M
<.5M
1M-3M
<.5M
<.5M
<.5M
1M-3M
<.5M
<.5M
<.5M
<.5M
1M-3M
<.5M
<.5M
.5M-1M
<.5M
<.5M
<.5M
<.5M
1M-3M
<.5M
<.5M
